Time (s),A_x,A_y,A_z,Gyr_x,Gyr_y,Gyr_z,freq,speed,state
59.05287567,-0.551940905,-0.76713189,-2.086927692,0.392065257,1.909834266,0.187231436,999.964505,-0.012068716,walking
59.10287671,-0.622056037,-0.38024648,0.228438436,1.042468429,1.125691891,0.664482594,1003.453356,1.170100125,walking
59.15287775,-1.466207451,-2.470398327,-1.947991709,-0.304499567,-0.478472918,2.037030697,1000.799269,0.271534425,walking
59.20287879,-0.249576706,-2.992506738,-2.122701834,1.558713436,-2.648926973,2.00985527,996.9164273,-1.051657586,walking
59.21768965,4.381023989,1.705334598,0.470689166,-1.659330964,0.084824868,1.968035579,997.1236083,-0.980794313,walking
59.22027533,-0.217203596,0.683566992,0.748404354,2.081195831,-1.725728393,1.815322638,1003.604438,1.221107645,walking
59.25287983,0.112430847,0.767084527,1.369210914,0.647328138,-2.036726713,-0.828569174,998.8683686,-0.385190587,walking
59.27027638,-0.941768341,-1.422427009,1.728248959,-1.686280012,0.206394896,0.192864656,1000.205518,0.069861776,walking
59.32027742,0.476516501,-0.117393964,0.608509208,1.219836712,-0.625303388,-0.174628317,1003.012629,1.02121735,walking
59.37027846,-0.266776875,-0.493186913,-1.224578573,-0.107310459,-0.038956504,-0.056037072,999.0196151,-0.333657985,walking
59.41768965,-1.680450017,0.286721143,-1.914984176,-0.530788004,-0.199644119,0.125226572,1003.014061,1.02170129,walking
59.4202795,1.070271429,0.365946822,1.160570273,0.636135399,-0.552278578,0.102083869,1004.192691,1.419563232,walking
59.47028054,0.235577302,0.268722829,-0.358810588,-0.152492911,0.837988734,-0.666039288,1000.788091,0.267739769,walking
59.52028158,-0.59643003,-0.496277751,-0.193048164,0.764082432,-0.710655153,-0.233157963,999.9978256,-0.000739309,walking
59.57028263,0.682565948,-0.178421938,0.95671704,-0.00140915,-0.209467322,0.464634121,999.4077273,-0.201492059,walking
59.61768965,-0.29779577,-0.577742329,0.346611542,-0.292885214,0.429414123,0.208134562,1001.514265,0.514071629,walking
59.62028367,0.365425835,0.537381923,-0.226798,0.046159178,0.004339739,-0.018728452,997.0442259,-1.007942445,walking
59.67028471,0.000821534,0.383490808,-2.006828731,-0.009068685,0.010265076,-0.441568524,1001.128445,0.383238796,walking
59.74470446,-0.828903045,-0.675887259,0.079093824,0.053187273,-0.078614824,-0.158913955,1001.482794,0.503403554,walking
59.7947055,-0.667659057,-0.028978801,-0.162634749,-0.176512808,0.364774168,-0.082792461,999.7646439,-0.080039928,walking
59.81768965,0.135007532,0.403571316,-0.617437322,0.103920445,-0.097273871,0.174927831,996.1186535,-1.324799828,walking
59.84470654,0.472532793,0.467094882,-0.153884975,0.087957762,0.115044154,0.028974621,1002.14059,0.726245951,walking
0,0.699643326,0.295344617,0.298498313,-0.023921438,0.044474274,-0.053271919,1001.222057,0.414992095,walking
0.01768965,-0.528181329,-0.471555723,-0.240730453,0.104822688,0.001446129,-0.033696279,999.0705972,-0.316290914,walking
0.21768965,-0.453439295,-0.711045397,0.647418335,0.326303721,-0.840490222,0.503377557,996.9112327,-1.053434711,walking
0.41768965,1.598351601,1.392309755,-0.27961853,0.471118927,-0.463559389,-0.35162434,1001.376361,0.467319372,walking
0.61768965,-1.536651197,-0.777145246,-0.274325338,-0.078876071,0.450759292,-0.361887544,1003.474201,1.177138722,walking
0.81768965,-1.008575118,-0.443011955,-0.69902206,-0.213073254,0.472177953,0.290430933,1004.175063,1.413619387,walking
